Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Ty Outlaw,VT,.638,.631,159.8,0.043,0.17800000000000002,0.113,0.055999999999999994,0.078,0.011000000000000001,0.021,0.135,0.1,1.4,129.5,97.2,32.2,270.8,14.6,0.638,0.631,159.8,0.1,1.4,129.5,97.2,32.2,270.8,14.6
Tahj Eaddy,SCU,.543,.503,158.2,0.01,0.078,0.045,0.19899999999999998,0.126,0.015,0,0.23800000000000002,0.3,1.2,106.9,106.5,0.4,239.0,14.6,0.543,0.503,158.2,0.3,1.2,106.9,106.5,0.4,239,14.6
Derek Brown,PSU,.488,.415,142.4,0.08800000000000001,0.11699999999999999,0.102,0.156,0.183,0.034,0.002,0.23,-3.5,1.2,102.3,103.1,-0.8,131.9,14.6,0.488,0.415,142.4,-3.5,1.2,102.3,103.1,-0.8,131.9,14.6
Nahziah Carter,UW,.547,.526,142.5,0.059000000000000004,0.085,0.073,0.091,0.122,0.013000000000000001,0.011000000000000001,0.215,-2.3,1.3,109.3,102.2,7.2,148.2,14.6,0.547,0.526,142.5,-2.3,1.3,109.3,102.2,7.2,148.2,14.6
Wyatt Walker,NCST,.609,.590,164.8,0.11,0.16899999999999998,0.139,0.07400000000000001,0.21600000000000003,0.013999999999999999,0.055999999999999994,0.132,-2.9,1.5,115.5,96.9,18.6,188.9,14.6,0.609,0.59,164.8,-2.9,1.5,115.5,96.9,18.6,188.9,14.6
Camren Wynter,DREX,.491,.463,152.6,0.033,0.126,0.08,0.29,0.17300000000000001,0.023,0.002,0.204,3.6,1.1,104.5,110.0,-5.6,305.4,14.6,0.491,0.463,152.6,3.6,1.1,104.5,110,-5.6,305.4,14.6
Tripp Davis,TSU,.609,.583,156.0,0.016,0.13699999999999998,0.07400000000000001,0.095,0.128,0.034,0.005,0.146,-0.6,1.4,118.9,103.7,15.2,179.2,14.6,0.609,0.583,156,-0.6,1.4,118.9,103.7,15.2,179.2,14.6
Nic Thomas,NSU,.552,.492,157.7,0.027000000000000003,0.094,0.061,0.113,0.141,0.015,0.002,0.248,-3.4,1.3,107.2,99.3,7.8,211.8,14.6,0.552,0.492,157.7,-3.4,1.3,107.2,99.3,7.8,211.8,14.6
Isaac Likekele,OSU,.518,.480,136.3,0.021,0.166,0.094,0.284,0.218,0.027000000000000003,0.013000000000000001,0.196,1.0,1.3,100.3,103.3,-3.0,261.8,14.6,0.518,0.48,136.3,1,1.3,100.3,103.3,-3,261.8,14.6
Donovan Sims,MTSU,.544,.522,153.5,0.015,0.131,0.07200000000000001,0.19399999999999998,0.174,0.027000000000000003,0.002,0.19699999999999998,-0.9,1.2,105.3,104.4,0.9,244.4,14.6,0.544,0.522,153.5,-0.9,1.2,105.3,104.4,0.9,244.4,14.6
Edric Dennis,UTA,.487,.433,141.4,0.043,0.135,0.08900000000000001,0.185,0.147,0.016,0.005,0.303,-3.6,1.1,97.8,100.7,-2.8,190.6,14.6,0.487,0.433,141.4,-3.6,1.1,97.8,100.7,-2.8,190.6,14.6
Mustapha Heron,STJ,.552,.509,159.7,0.034,0.132,0.08199999999999999,0.078,0.14800000000000002,0.018000000000000002,0.006999999999999999,0.243,-4.2,1.3,101.9,103.5,-1.6,218.2,14.6,0.552,0.509,159.7,-4.2,1.3,101.9,103.5,-1.6,218.2,14.6
Troy Harper,DREX,.512,.424,141.2,0.013999999999999999,0.109,0.062,0.14400000000000002,0.14300000000000002,0.011000000000000001,0.002,0.297,-3.4,1.3,101.8,112.2,-10.3,160.9,14.6,0.512,0.424,141.2,-3.4,1.3,101.8,112.2,-10.3,160.9,14.6
Elijah Olaniyi,SB,.517,.472,144.9,0.064,0.13699999999999998,0.10099999999999999,0.11599999999999999,0.171,0.015,0.013999999999999999,0.22399999999999998,-4.2,1.2,102.1,95.9,6.1,236.9,14.6,0.517,0.472,144.9,-4.2,1.2,102.1,95.9,6.1,236.9,14.6
Robert Allen,SU,.542,.519,140.7,0.08,0.198,0.14400000000000002,0.08199999999999999,0.175,0.015,0.033,0.172,-2.9,1.3,105.7,101.2,4.5,321.4,14.6,0.542,0.519,140.7,-2.9,1.3,105.7,101.2,4.5,321.4,14.6
Mack Smith,EIU,.535,.514,145.5,0.018000000000000002,0.139,0.078,0.10300000000000001,0.09300000000000001,0.013000000000000001,0.008,0.21899999999999997,-0.7,1.2,108.9,110.3,-1.4,226.9,14.6,0.535,0.514,145.5,-0.7,1.2,108.9,110.3,-1.4,226.9,14.6
